NAME,DIRECTOR,YEAR,WIN,MOSTNOMS,DGAWINS,GGWIN,GGDIRWINS,PREVACTWINS,PREVDIRNOMS,MOSTPREVDIRNOMS,BIOP,EPICBIOP,SAGWINS,GGACTWINS,FOREIGNLANG,BECHDEL,TWOLEAD,GENDER,LEADGENDER,RACE,TRAUMA,RACISM,SEXISM,CLASSISM,LGBTQ,LOVE,DISABILITY,THEMEONLY,PROB,ADJPROB
Dead Poets Society,Peter Weir,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.4285714286,0.2083333333,0.2
Do the Right Thing,Spike Lee,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0.4285714286,0.2083333333,0.1
Dances With Wolves,Kevin Costner,1990,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0.5714285714,0.4166666667,0.4
The Silence of the Lambs,Johnathan Demme,1991,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0.2857142857,0.25,0.2
Unforgiven,Clint Eastwood,1992,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.25,0.4
Schindler's List,Steven Spielberg,1993,1,1,1,1,1,1,3,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0.4285714286,0.5833333333,1
Forrest Gump,Robert Zemeckis,1994,1,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0.8571428571,0.6666666667,0.9
Pulp Fiction,Quentin Tarantino,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08333333333,0.1
Braveheart,Mel Gibson,1995,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.4285714286,0.25,0.3
Apollo 13,Ron Howard,1995,0,0,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.3333333333,0.4
The English Patient,Anthony Minghella,1996,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,0.4285714286,0.5,0.7
Fargo,"Joel Coen, Ethan Coen",1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1428571429,0.125,0.1
Titanic,James Cameron,1997,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0.2857142857,0.5416666667,1
Shakespeare in love,John Madden,1998,1,1,0,1,0,1,0,0,0,1,2,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0.2857142857,0.5416666667,0.7
Saving Private Ryan,Steven Spielberg,1998,0,0,1,1,1,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.4583333333,1
